Entity1,Relationship,Entity2,Evidence,Evidence URL
PVT,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Receptor,SER-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVTmainframe.htm
PVT,Receptor,SER-4,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVTmainframe.htm
PVT,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVTmainframe.htm
PVT,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVTmainframe.htm
PVWL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
PVWL,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVWL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVWL,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
PVWL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
PVWR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
PVWR,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVWR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVWR,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
PVWR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVWmainframe.htm
RIAL,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIAL,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIAL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIAR,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIAR,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIAR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIAmainframe.htm
RIBL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIBL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIBmainframe.htm
RIBR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIBR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIBmainframe.htm
RICL,Neurotransmitter,Octopamine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RICL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICL,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RICL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RICR,Neurotransmitter,Octopamine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RICR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICR,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RICR,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RICR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RICmainframe.htm
RID,type,"Motor neuron, interneuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIDmainframe.htm
RIFL,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIFmainframe.htm
RIFL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIFmainframe.htm
RIFR,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIFmainframe.htm
RIFR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIFmainframe.htm
RIGL,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIGmainframe.htm
RIGL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIGL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIGmainframe.htm
RIGR,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIGmainframe.htm
RIGR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIGR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIGmainframe.htm
RIH,Neurotransmitter,Serotonin,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIHmainframe.htm
RIH,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIHmainframe.htm
RIML,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
