Cell	Lineage Name	Description
gon_male_vdef	Z1.pappa	Vas deferens
gon_male_vdef	Z4.aaaaaaa	Vas deferens
gon_male_vdef	Z4.aaaaaap	Vas deferens
gon_male_vdef	Z4.aaaaapaa	Vas deferens
gon_male_vdef	Z4.aaaaapap	Vas deferens
gon_male_vdef	Z4.aaaaappaa	Vas deferens
gon_male_vdef	Z4.aaaaappap	Vas deferens
gon_male_vdef	Z4.aaaaappp	Vas deferens
gon_male_vdef	Z4.aaaapa	Vas deferens
gon_male_vdef	Z4.aaaapp	Vas deferens
gon_male_vdef	Z4.aaapa	Vas deferens
gon_male_vdef	Z4.aapaaaa	Vas deferens
gon_male_vdef	Z4.aapaaap	Vas deferens
gon_male_vdef	Z4.aapaapaa	Vas deferens
gon_male_vdef	Z4.aapaapap	Vas deferens
gon_male_vdef	Z4.aapaappaa	Vas deferens
gon_male_vdef	Z4.aapaappap	Vas deferens
gon_male_vdef	Z4.aapaappp	Vas deferens
gon_male_vdef	Z4.aapapa	Vas deferens
gon_male_vdef	Z4.aapapp	Vas deferens
gon_male_vdef	Z4.aappa	Vas deferens
gon_male_vdef	Z1.paaaaaa	Vas deferens
gon_male_vdef	Z1.paaaaap	Vas deferens
gon_male_vdef	Z1.paaaapaa	Vas deferens
gon_male_vdef	Z1.paaaapap	Vas deferens
gon_male_vdef	Z1.paaaappaa	Vas deferens
gon_male_vdef	Z1.paaaappap	Vas deferens
gon_male_vdef	Z1.paaaappp	Vas deferens
gon_male_vdef	Z1.paaapa	Vas deferens
gon_male_vdef	Z1.paaapp	Vas deferens
gon_male_vdef	Z1.paapa	Vas deferens
hmc	MS.appaaa	Head mesodermal cell, function unknown
hyp1	AB.alpaapppa	Cylindrical hypodermal syncytium in head
hyp1	AB.araaapppp	Cylindrical hypodermal syncytium in head
hyp1	AB.arappaapa	Cylindrical hypodermal syncytium in head
hyp2	AB.alpaapppp	Cylindrical hypodermal syncytium in head
hyp2	AB.alpapaaap	Cylindrical hypodermal syncytium in head
hyp3	AB.plaapaaaa	Cylindrical hypodermal syncytium in head
hyp3	AB.praapaaaa	Cylindrical hypodermal syncytium in head
hyp4	AB.arpapapa	Cylindrical hypodermal syncytium in head
hyp4	AB.plaappaa	Cylindrical hypodermal syncytium in head
hyp4	AB.praappaa	Cylindrical hypodermal syncytium in head
hyp5	AB.arpappap	Cylindrical hypodermal syncytium in head
hyp5	AB.plaaapap	Cylindrical hypodermal syncytium in head
hyp6	AB.arpaapaa	Cylindrical hypodermal syncytium in head
hyp6	AB.arpapapp	Cylindrical hypodermal syncytium in head
hyp6	AB.plaaaapa	Cylindrical hypodermal syncytium in head
hyp6	AB.plaaaapp	Cylindrical hypodermal syncytium in head
hyp6	AB.plaappap	Cylindrical hypodermal syncytium in head
hyp6	AB.praappap	Cylindrical hypodermal syncytium in head
hyp7	AB.arpaapap	Embryonic large hypodermal syncytium
hyp7	AB.arpaappa	Embryonic large hypodermal syncytium
hyp7	AB.arpaappp	Embryonic large hypodermal syncytium
hyp7	AB.arppaapa	Embryonic large hypodermal syncytium
hyp7	AB.arpppapa	Embryonic large hypodermal syncytium
hyp7	AB.plaapppa	Embryonic large hypodermal syncytium
hyp7	AB.plaapppp	Embryonic large hypodermal syncytium
hyp7	AB.plappppa	Embryonic large hypodermal syncytium
hyp7	AB.praapppa	Embryonic large hypodermal syncytium
hyp7	AB.praapppp	Embryonic large hypodermal syncytium
hyp7	AB.prappppa	Embryonic large hypodermal syncytium
hyp7	C.aaaaa	Embryonic large hypodermal syncytium
hyp7	C.aaaap	Embryonic large hypodermal syncytium
hyp7	C.aaapa	Embryonic large hypodermal syncytium
hyp7	C.aaapp	Embryonic large hypodermal syncytium
hyp7	C.aappd	Embryonic large hypodermal syncytium
hyp7	C.paaaa	Embryonic large hypodermal syncytium
hyp7	C.paaap	Embryonic large hypodermal syncytium
hyp7	C.paapa	Embryonic large hypodermal syncytium
hyp7	C.paapp	Embryonic large hypodermal syncytium
hyp7	C.papaa	Embryonic large hypodermal syncytium
hyp7	C.papap	Embryonic large hypodermal syncytium
hyp7	C.pappd	Embryonic large hypodermal syncytium
hyp7	H1L.apa	Postembryonic large hypodermal syncytium
hyp7	H1L.appa	Postembryonic large hypodermal syncytium
hyp7	H1L.p	Postembryonic large hypodermal syncytium
hyp7	H1R.apa	Postembryonic large hypodermal syncytium
hyp7	H1R.appa	Postembryonic large hypodermal syncytium
hyp7	H1R.p	Postembryonic large hypodermal syncytium
hyp7	H2L.ap	Postembryonic large hypodermal syncytium
hyp7	H2L.pa	Postembryonic large hypodermal syncytium
hyp7	H2L.ppa	Postembryonic large hypodermal syncytium
hyp7	H2L.pppa	Postembryonic large hypodermal syncytium
hyp7	H2R.ap	Postembryonic large hypodermal syncytium
hyp7	H2R.pa	Postembryonic large hypodermal syncytium
hyp7	H2R.ppa	Postembryonic large hypodermal syncytium
hyp7	H2R.pppa	Postembryonic large hypodermal syncytium
hyp7	V1L.a	Postembryonic large hypodermal syncytium
hyp7	V1L.paa	Postembryonic large hypodermal syncytium
hyp7	V1L.papa	Postembryonic large hypodermal syncytium
hyp7	V1L.pappa	Postembryonic large hypodermal syncytium
hyp7	V1L.ppa	Postembryonic large hypodermal syncytium
hyp7	V1L.pppa	Postembryonic large hypodermal syncytium
hyp7	V1L.ppppa	Postembryonic large hypodermal syncytium
hyp7	V1R.a	Postembryonic large hypodermal syncytium
hyp7	V1R.paa	Postembryonic large hypodermal syncytium
hyp7	V1R.papa	Postembryonic large hypodermal syncytium
hyp7	V1R.pappa	Postembryonic large hypodermal syncytium
hyp7	V1R.ppa	Postembryonic large hypodermal syncytium
hyp7	V1R.pppa	Postembryonic large hypodermal syncytium
hyp7	V1R.ppppa	Postembryonic large hypodermal syncytium
hyp7	V2L.a	Postembryonic large hypodermal syncytium
hyp7	V2L.paa	Postembryonic large hypodermal syncytium
hyp7	V2L.papa	Postembryonic large hypodermal syncytium
hyp7	V2L.pappa	Postembryonic large hypodermal syncytium
hyp7	V2L.ppa	Postembryonic large hypodermal syncytium
hyp7	V2L.pppa	Postembryonic large hypodermal syncytium
hyp7	V2L.ppppa	Postembryonic large hypodermal syncytium
hyp7	V2R.a	Postembryonic large hypodermal syncytium
hyp7	V2R.paa	Postembryonic large hypodermal syncytium
hyp7	V2R.papa	Postembryonic large hypodermal syncytium
hyp7	V2R.pappa	Postembryonic large hypodermal syncytium
hyp7	V2R.ppa	Postembryonic large hypodermal syncytium
hyp7	V2R.pppa	Postembryonic large hypodermal syncytium
hyp7	V2R.ppppa	Postembryonic large hypodermal syncytium
hyp7	V3L.a	Postembryonic large hypodermal syncytium
hyp7	V3L.paa	Postembryonic large hypodermal syncytium
hyp7	V3L.papa	Postembryonic large hypodermal syncytium
hyp7	V3L.pappa	Postembryonic large hypodermal syncytium
hyp7	V3L.ppa	Postembryonic large hypodermal syncytium
hyp7	V3L.pppa	Postembryonic large hypodermal syncytium
hyp7	V3L.ppppa	Postembryonic large hypodermal syncytium
hyp7	V3R.a	Postembryonic large hypodermal syncytium
hyp7	V3R.paa	Postembryonic large hypodermal syncytium
hyp7	V3R.papa	Postembryonic large hypodermal syncytium
hyp7	V3R.pappa	Postembryonic large hypodermal syncytium
hyp7	V3R.ppa	Postembryonic large hypodermal syncytium
hyp7	V3R.pppa	Postembryonic large hypodermal syncytium
hyp7	V3R.ppppa	Postembryonic large hypodermal syncytium
hyp7	V4L.a	Postembryonic large hypodermal syncytium
hyp7	V4L.paa	Postembryonic large hypodermal syncytium
hyp7	V4L.papa	Postembryonic large hypodermal syncytium
hyp7	V4L.pappa	Postembryonic large hypodermal syncytium
hyp7	V4L.ppa	Postembryonic large hypodermal syncytium
hyp7	V4L.pppa	Postembryonic large hypodermal syncytium
hyp7	V4L.ppppa	Postembryonic large hypodermal syncytium
hyp7	V4R.a	Postembryonic large hypodermal syncytium
hyp7	V4R.paa	Postembryonic large hypodermal syncytium
hyp7	V4R.papa	Postembryonic large hypodermal syncytium
hyp7	V4R.pappa	Postembryonic large hypodermal syncytium
hyp7	V4R.ppa	Postembryonic large hypodermal syncytium
hyp7	V4R.pppa	Postembryonic large hypodermal syncytium
hyp7	V4R.ppppa	Postembryonic large hypodermal syncytium
hyp7	V5L.a	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5L.ppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5L.pppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5L.ppppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5R.a	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5R.ppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5R.pppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5R.ppppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.a	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.paa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.papa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.pappa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.ppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.pppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6L.ppppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.a	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.paa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.papa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.pappa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.ppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.pppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V6R.ppppa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TL.aa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TL.apaa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TL.apap	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TR.aa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TR.apaa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	TR.apap	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	V5L.a	Postembryonic large hypodermal syncytium, male
hyp7	V5L.ppa	Postembryonic large hypodermal syncytium, male
hyp7	V5L.pppaa	Postembryonic large hypodermal syncytium, male
hyp7	V5L.pppapa	Postembryonic large hypodermal syncytium, male
hyp7	V5L.ppppa	Postembryonic large hypodermal syncytium, male
hyp7	V5R.a	Postembryonic large hypodermal syncytium, male
hyp7	V5R.ppa	Postembryonic large hypodermal syncytium, male
hyp7	V5R.pppa	Postembryonic large hypodermal syncytium, male
hyp7	V5R.pppapa	Postembryonic large hypodermal syncytium, male
hyp7	V5R.ppppa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.a	Postembryonic large hypodermal syncytium, male
hyp7	V6L.paa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.papaa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.pappa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.ppa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.pppaa	Postembryonic large hypodermal syncytium, male
hyp7	V6L.ppppap	Postembryonic large hypodermal syncytium, male
hyp7	V6R.a	Postembryonic large hypodermal syncytium, male
hyp7	V6R.paa	Postembryonic large hypodermal syncytium, male
hyp7	V6R.papaa	Postembryonic large hypodermal syncytium, male
hyp7	V6R.pappa	Postembryonic large hypodermal syncytium, male
hyp7	V6R.ppa	Postembryonic large hypodermal syncytium, male
hyp7	V6R.pppaa	Postembryonic large hypodermal syncytium, male
hyp7	V6R.ppppap	Postembryonic large hypodermal syncytium, male
hyp7	TL.aa	Postembryonic large hypodermal syncytium, male
hyp7	TL.apaa	Postembryonic large hypodermal syncytium, male
hyp7	TL.apapa	Postembryonic large hypodermal syncytium, male
hyp7	TL.apappp	Postembryonic large hypodermal syncytium, male
hyp7	TL.appaap	Postembryonic large hypodermal syncytium, male
hyp7	TL.appapp	Postembryonic large hypodermal syncytium, male
hyp7	TR.aa	Postembryonic large hypodermal syncytium, male
hyp7	TR.apaa	Postembryonic large hypodermal syncytium, male
hyp7	TR.apapa	Postembryonic large hypodermal syncytium, male
hyp7	TR.apappp	Postembryonic large hypodermal syncytium, male
hyp7	TR.appaap	Postembryonic large hypodermal syncytium, male
hyp7	TR.appapp	Postembryonic large hypodermal syncytium, male
hyp7	P1.p	Postembryonic large hypodermal syncytium
hyp7	P2.p	Postembryonic large hypodermal syncytium
hyp7	P3.pa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P3.pp	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P4.pa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P4.pp	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P8.pa	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P8.pp	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P9.p	Postembryonic large hypodermal syncytium
hyp7	P10.p	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P11.p	Postembryonic large hypodermal syncytium, hermaphrodite
hyp7	P3.p	Postembryonic large hypodermal syncytium, male
hyp7	P4.p	Postembryonic large hypodermal syncytium, male
hyp7	P5.p	Postembryonic large hypodermal syncytium, male
hyp7	P6.p	Postembryonic large hypodermal syncytium, male
hyp7	P7.p	Postembryonic large hypodermal syncytium, male
hyp7	P8.p	Postembryonic large hypodermal syncytium, male
hyp7	P10.papa	Postembryonic large hypodermal syncytium, male
hyp7	P10.paap	Postembryonic large hypodermal syncytium, male
hyp7	P10.paaa	Postembryonic large hypodermal syncytium, male
hyp8/9	AB.plpppapap	Tail ventral hypodermis
hyp8/9	AB.prpppapap	Tail ventral hypodermis
hyp10	AB.plppppppp	Tail ventral hypodermis
hyp10	AB.prppppppp	Tail ventral hypodermis
hyp11	C.pappv	Tail dorsal hypodermis
hyp12	P12.pa	Preanal hypodermis
hyp_hook	P10.papp	Hook of male
hyp_hook	P11.ppaa	Hypodermis associated with hook sensillum of male
hyp_hook	P11.ppap	Hypodermis associated with hook sensillum of male
hyp_hook	P11.ppp	Hypodermis associated with hook sensillum of male
int	E.alaad	Intestinal cell
int	E.alaav	Intestinal cell
int	E.alap	Intestinal cell
int	E.alpa	Intestinal cell
int	E.alpp	Intestinal cell
int	E.araad	Intestinal cell
int	E.araav	Intestinal cell
int	E.arap	Intestinal cell
int	E.arpa	Intestinal cell
int	E.arpp	Intestinal cell
int	E.plaa	Intestinal cell
int	E.plap	Intestinal cell
int	E.plpa	Intestinal cell
int	E.plppa	Intestinal cell
int	E.plppp	Intestinal cell
int	E.praa	Intestinal cell
int	E.prap	Intestinal cell
int	E.prpa	Intestinal cell
int	E.prppa	Intestinal cell
int	E.prppp	Intestinal cell
int	In.a	Postembryonic intestinal cell
int	In.p	Postembryonic intestinal cell
linker_killer	U.lp or U.rp	One of these cells, sometimes fused with U.l/ra, phagocytoses the male linker cell
pm1DL	AB.araapaaap	Pharyngeal muscle cell
pm1DR	AB.araappaap	Pharyngeal muscle cell
pm1L	AB.araaaaaap	Pharyngeal muscle cell
pm1R	AB.araaaaapp	Pharyngeal muscle cell
pm1VL	AB.alpaaaapa	Pharyngeal muscle cell
pm1VR	AB.araaaaapa	Pharyngeal muscle cell
pm2DL	AB.araapaapa	Pharyngeal muscle cell
pm2DR	AB.araappapa	Pharyngeal muscle cell
pm2L	AB.alpaaapaa	Pharyngeal muscle cell
pm2R	AB.arapaapaa	Pharyngeal muscle cell
pm2VL	AB.alpaaaaap	Pharyngeal muscle cell
pm2VR	AB.arapaaaap	Pharyngeal muscle cell
pm3DL	MS.aaapaaa	Pharyngeal muscle cell
pm3DR	MS.paaaapa	Pharyngeal muscle cell
pm3L	AB.alpaapapp	Pharyngeal muscle cell
pm3R	AB.arapaappa	Pharyngeal muscle cell
pm3VL	AB.alpappppp	Pharyngeal muscle cell
pm3VR	AB.arapapppp	Pharyngeal muscle cell
pm4DL	MS.aaaaapp	Pharyngeal muscle cell
pm4DR	MS.paaaapp	Pharyngeal muscle cell
pm4L	MS.aaapaap	Pharyngeal muscle cell
pm4R	AB.araaapapp	Pharyngeal muscle cell
pm4VL	MS.aapaaaa	Pharyngeal muscle cell
pm4VR	MS.papappp	Pharyngeal muscle cell
pm5DL	MS.aaaapap	Pharyngeal muscle cell
pm5DR	MS.paaappa	Pharyngeal muscle cell
pm5L	AB.araapapap	Pharyngeal muscle cell
pm5R	AB.araapppap	Pharyngeal muscle cell
pm5VL	MS.aapaaap	Pharyngeal muscle cell
pm5VR	MS.papaaap	Pharyngeal muscle cell
pm6D	MS.paaappp	Pharyngeal muscle cell
pm6VL	MS.aapappa	Pharyngeal muscle cell
ppm6VR	MS.papappa	Pharyngeal muscle cell
pm7D	MS.aaaappp	Pharyngeal muscle cell
pm7VL	MS.aapaapp	Pharyngeal muscle cell
pm7VR	MS.papaapp	Pharyngeal muscle cell
pm8	MS.aaapapp	Pharyngeal muscle cell
mc1DL	AB.alpaapapa	Pharyngeal marginal cell
mc1DR	AB.araaapapa	Pharyngeal marginal cell
mc1V	AB.alpappppa	Pharyngeal marginal cell
mc2DL	AB.araapaapp	Pharyngeal marginal cell
mc2DR	AB.araappapp	Pharyngeal marginal cell
mc2V	AB.arapapppa	Pharyngeal marginal cell
mc3DL	MS.aaapapa	Pharyngeal marginal cell
mc3DR	MS.paapapa	Pharyngeal marginal cell
mc3V	AB.alpappapp	Pharyngeal marginal cell
mu_anal	AB.plpppppap	Anal depressor muscle
mu_bod	AB.prpppppaa	Embryonic body wall muscle
mu_bod	C.apaaaa	Embryonic body wall muscle
mu_bod	C.apaaap	Embryonic body wall muscle
mu_bod	C.apaapa	Embryonic body wall muscle
mu_bod	C.apaapp	Embryonic body wall muscle
mu_bod	C.apapaa	Embryonic body wall muscle
mu_bod	C.apapap	Embryonic body wall muscle
mu_bod	C.apappa	Embryonic body wall muscle
mu_bod	C.apappp	Embryonic body wall muscle
mu_bod	C.appaaa	Embryonic body wall muscle
mu_bod	C.appaap	Embryonic body wall muscle
mu_bod	C.appapa	Embryonic body wall muscle
mu_bod	C.appapp	Embryonic body wall muscle
mu_bod	C.apppaa	Embryonic body wall muscle
mu_bod	C.apppap	Embryonic body wall muscle
mu_bod	C.appppd	Embryonic body wall muscle
mu_bod	C.appppv	Embryonic body wall muscle
mu_bod	C.ppaaaa	Embryonic body wall muscle
mu_bod	C.ppaaap	Embryonic body wall muscle
mu_bod	C.ppaapa	Embryonic body wall muscle
mu_bod	C.ppaapp	Embryonic body wall muscle
mu_bod	C.ppapaa	Embryonic body wall muscle
mu_bod	C.ppapap	Embryonic body wall muscle
mu_bod	C.ppappa	Embryonic body wall muscle
mu_bod	C.ppappp	Embryonic body wall muscle
mu_bod	C.pppaaa	Embryonic body wall muscle
mu_bod	C.pppaap	Embryonic body wall muscle
mu_bod	C.pppapa	Embryonic body wall muscle
mu_bod	C.pppapp	Embryonic body wall muscle
mu_bod	C.ppppaa	Embryonic body wall muscle
mu_bod	C.ppppap	Embryonic body wall muscle
mu_bod	C.pppppd	Embryonic body wall muscle
mu_bod	C.pppppv	Embryonic body wall muscle
mu_bod	D.aaaa	Embryonic body wall muscle
mu_bod	D.aaap	Embryonic body wall muscle
mu_bod	D.aapa	Embryonic body wall muscle
mu_bod	D.aapp	Embryonic body wall muscle
mu_bod	D.apaa	Embryonic body wall muscle
mu_bod	D.apap	Embryonic body wall muscle
mu_bod	D.appaa	Embryonic body wall muscle
mu_bod	D.appap	Embryonic body wall muscle
mu_bod	D.apppa	Embryonic body wall muscle
mu_bod	D.apppp	Embryonic body wall muscle
mu_bod	D.paaa	Embryonic body wall muscle
mu_bod	D.paap	Embryonic body wall muscle
mu_bod	D.papa	Embryonic body wall muscle
mu_bod	D.ppap	Embryonic body wall muscle
mu_bod	D.ppaa	Embryonic body wall muscle
mu_bod	D.ppap	Embryonic body wall muscle
mu_bod	D.pppaa	Embryonic body wall muscle
mu_bod	D.pppap	Embryonic body wall muscle
mu_bod	D.ppppa	Embryonic body wall muscle
mu_bod	D.ppppp	Embryonic body wall muscle
mu_bod	MS.aapppaa	Embryonic body wall muscle
mu_bod	MS.aapppap	Embryonic body wall muscle
mu_bod	MS.aappppa	Embryonic body wall muscle
mu_bod	MS.aappppp	Embryonic body wall muscle
mu_bod	MS.apaaap	Embryonic body wall muscle
mu_bod	MS.apapap	Embryonic body wall muscle
mu_bod	MS.apappa	Embryonic body wall muscle
mu_bod	MS.apappp	Embryonic body wall muscle
mu_bod	MS.appapp	Embryonic body wall muscle
mu_bod	MS.apppaa	Embryonic body wall muscle
mu_bod	MS.apppap	Embryonic body wall muscle
mu_bod	MS.appppa	Embryonic body wall muscle
mu_bod	MS.appppp	Embryonic body wall muscle
mu_bod	MS.pappaa	Embryonic body wall muscle
mu_bod	MS.pappap	Embryonic body wall muscle
mu_bod	MS.papppaa	Embryonic body wall muscle
mu_bod	MS.papppap	Embryonic body wall muscle
mu_bod	MS.pappppa	Embryonic body wall muscle
mu_bod	MS.pappppp	Embryonic body wall muscle
mu_bod	MS.ppaaap	Embryonic body wall muscle
mu_bod	MS.ppapap	Embryonic body wall muscle
mu_bod	MS.ppappa	Embryonic body wall muscle
mu_bod	MS.ppappp	Embryonic body wall muscle
mu_bod	MS.pppapp	Embryonic body wall muscle
mu_bod	MS.ppppaa	Embryonic body wall muscle
mu_bod	MS.ppppap	Embryonic body wall muscle
mu_bod	MS.pppppa	Embryonic body wall muscle
mu_bod	MS.pppppp	Embryonic body wall muscle
mu_bod	M.dlaa	Postembryonic body wall muscle
mu_bod	M.dlap	Postembryonic body wall muscle
mu_bod	M.dlpp	Postembryonic body wall muscle
mu_bod	M.draa	Postembryonic body wall muscle
mu_bod	M.drap	Postembryonic body wall muscle
mu_bod	M.drpp	Postembryonic body wall muscle
mu_bod	M.vlaa	Postembryonic body wall muscle
mu_bod	M.vlap	Postembryonic body wall muscle
mu_bod	M.vlpap	Postembryonic body wall muscle
mu_bod	M.vlpp	Postembryonic body wall muscle
mu_bod	M.vraa	Postembryonic body wall muscle
mu_bod	M.vrap	Postembryonic body wall muscle
mu_bod	M.vrpap	Postembryonic body wall muscle
mu_bod	M.vrpp	Postembryonic body wall muscle
mu_int_L	AB.plpppppaa	Intestinal muscles, attach to intestine and body wall anterior to anus
mu_int_R	MS.ppaapp	Intestinal muscles, attach to intestine and body wall anterior to anus
mu_male_diag	M.dlpaaaap	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpaaapa	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpaaapp	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpaapaa	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpaapap	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpapaaa	Diagonal tail muscles in male body wall
mu_male_diag	M.dlpapaap	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaaaap	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaaapa	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaaapp	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaapaa	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaappa	Diagonal tail muscles in male body wall
mu_male_diag	M.drpaapap	Diagonal tail muscles in male body wall
mu_male_diag	M.drpapaaa	Diagonal tail muscles in male body wall
mu_male_diag	M.drpapaap	Diagonal tail muscles in male body wall
mu_male_gub	M.dlpappap	Gubernaculum erector
mu_male_gub	M.drpappap	Gubernaculum erector
mu_male_gub	M.dlpapapa	Gubernaculum retractor
mu_male_gub	M.drpapapa	Gubernaculum retractor
mu_male_long	M.vlpaaaaa	Anterior outer longitudinal male muscle
mu_male_long	M.vlpaaaap	Posterior outer longitudinal male muscle
mu_male_long	M.vlpaaapa	Anterior inner longitudinal male muscle
mu_male_long	M.vlpaaapp	Posterior inner longitudinal male muscle
mu_male_long	M.vlpaapp	Caudal longitudinal male muscle
mu_male_long	M.vrpaaaaa	Anterior outer longitudinal male muscle
mu_male_long	M.vrpaaaap	Posterior outer longitudinal male muscle
mu_male_long	M.vrpaaapa	Anterior inner longitudinal male muscle
mu_male_long	M.vrpaaapp	Posterior inner longitudinal male muscle
mu_male_long	M.vrpaapp	Caudal longitudinal male muscle
mu_male_obliq	M.dlpapapp	Anterior oblique male muscle
mu_male_obliq	M.dlpappaa	Posterior oblique male muscle
mu_male_obliq	M.drpapapp	Anterior oblique male muscle
mu_male_obliq	M.drpappap	Posterior oblique male muscle
mu_male_spic	M.dlpaaaaa	Ventral spicule protractor, male
mu_male_spic	M.dlpaappa	Ventral spicule retractor, male
mu_male_spic	M.dlpaappp	Dorsal spicule retractor, male
mu_male_spic	M.prpaaaaa	Ventral spicule protractor, male
mu_male_spic	M.drpaappp	Ventral spicule protractor, male
mu_male_spic	M.drpappaa	Dorsal spicule protractor, male
mu_male_spic	M.vlpaapa	Dorsal spicule protractor, male
mu_male_spic	M.vrpaapa	Dorsal spicule protractor, male
mu_sph	AB.prpppppap	Sphincter muscle of intestino-rectal valve
um2	M.vlpaaaaa	Uterine muscle 2
um1	M.vlpaaaap	Uterine muscle 1
um1	M.vlpaappa	Uterine muscle 1
um2	M.vlpaappp	Uterine muscle 2
um2	M.vrpaaaaa	Uterine muscle 2
um1	M.vrpaaaap	Uterine muscle 1
um1	M.vrpaappa	Uterine muscle 1
um2	M.vrpaappp	Uterine muscle 2
vm2	M.vlpaaapa	Vulval muscle 2
vm1	M.vlpaaapp	Vulval muscle 1
vm1	M.vlpaapaa	Vulval muscle 1
vm2	M.vlpaapap	Vulval muscle 2
vm2	M.vrpaaapa	Vulval muscle 2
vm1	M.vrpaaapp	Vulval muscle 1
vm1	M.vrpaapaa	Vulval muscle 1
vm2	M.vrpaapap	Vulval muscle 2
proct	B.alaalv/B.araalv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alaarv/B.araarv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alapaad	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alapapa	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alapapp	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alappv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alppalv/B.arppalv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alppald/B.arppald	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alpparv/B.arpparv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alppl/B.arppl	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.alppr/B.arppr	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.arapaad	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.arapapa	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.arapapp	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.arappv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.paa	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.pap	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	B.pppa	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	F.lvv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
proct	F.rvv	Male proctodeum, union of intestine and vas deferens, contains copulatory spicules
R1_hyp	V5.pppppp, R1.p	Ray 1 hypodermal cell, fuses with other ray hypodermal cells to form the tail seam
