Cell	Lineage Name	Description
M2R	AB.araappppa	Pharyngeal motorneurons
M3L	AB.araapappp	Pharyngeal sensory-motorneurons
M3R	AB.araappppp	Pharyngeal sensory-motorneurons
M4	MS.paaaaaa	Pharyngeal motorneurons
M5	MS.paaapap	Pharyngeal motorneurons
MCL	AB.alpaaappp	Pharyngeal neurons that synapse onto marginal cells
MCR	AB.arapaappp	Pharyngeal neurons that synapse onto marginal cells
MI	AB.araappaaa	Pharyngeal motor neuron/interneuron
MS	P0.paa	Embryonic founder cell
NSML	AB.araapapaav	Pharyngeal neurosecretory motorneuron, contain serotonin
NSMR	AB.araapppaav	Pharyngeal neurosecretory motorneuron, contain serotonin
OLLL	AB.alppppapaa	Lateral outer labial neurons
OLLR	AB.praaapapaa	Lateral outer labial neurons
OLLshL	AB.alpppaapd	Lateral outer labial sheath
OLLshR	AB.praaaaapd	Lateral outer labial sheath
OLLsoL	AB.alapaaapp	Lateral outer labial socket
OLLsoR	AB.alappappp	Lateral outer labial socket
OLQDL	AB.alapapapaa	Quadrant outer labial neuron
OLQDR	AB.alapppapaa	Quadrant outer labial neuron
OLQVL	AB.plpaaappaa	Quadrant outer labial neuron
OLQVR	AB.prpaaappaa	Quadrant outer labial neuron
OLQshDL	AB.arpaaaapa	Quadrant outer labial sheath
OLQshSR	AB.arpaaapaa	Quadrant outer labial sheath
OLQshVL	AB.alpppaaap	Quadrant outer labial sheath
OLQshVR	AB.praaaaaap	Quadrant outer labial sheath
OLQsoDL	AB.arpaaaaal	Quadrant outer labial socket
OLQsoDR	AB.arpaaaaar	Quadrant outer labial socket
OLQsoVL	AB.alppaaapp	Quadrant outer labial socket
OLQsoVR	AB.alaappapp	Quadrant outer labial socket
P0	Z	Single cell zygote
P4	P0.pppp	Embryonic founder cell of germ line
P1/2L	AB.plapaapp	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P1/2R	AB.prapaapp	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P3/4L	AB.plappaaa	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P3/4R	AB.prappaaa	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P5/6L	AB.plappaap	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P5/6R	AB.prappaap	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P7/8L	AB.plappapp	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P7/8R	AB.prappapp	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P9/10L	AB.plapapap	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
