URYVL;Sensory neuron;AB.plpaaappp
URYVR;Sensory neuron;AB.prpaaappp
VA1;Motor neuron;W.pa
VA10;Motor neuron;P10.aaaa
VA11;Motor neuron;P11.aaaa
VA12;Motor neuron;P12.aaaa
VA2;Motor neuron;P2.aaaa
VA3;Motor neuron;P3.aaaa
VA4;Motor neuron;P4.aaaa
VA5;Motor neuron;P5.aaaa
VA6;Motor neuron;P6.aaaa
VA7;Motor neuron;P7.aaaa
VA8;Motor neuron;P8.aaaa
VA9;Motor neuron;P9.aaaa
VB1;Motor neuron;P1.aaap
VB10;Motor neuron;P9.aaap
VB11;Motor neuron;P10.aaap
VB2;Motor neuron;W.aap
VB3;Motor neuron;P2.aaap
VB4;Motor neuron;P3.aaap
VB5;Motor neuron;P4.aaap
VB6;Motor neuron;P5.aaap
VB7;Motor neuron;P6.aaap
VB8;Motor neuron;P7.aaap
VB9;Motor neuron;P8.aaap
VC1;Motor neuron (Hermaphrodite specific);P3.aap
VC2;Motor neuron (Hermaphrodite specific);P4.aap
VC3;Motor neuron (Hermaphrodite specific);P5.aap
VC4;Motor neuron (Hermaphrodite specific);P6.aap
VC5;Motor neuron (Hermaphrodite specific);P7.aap
VC6;Motor neuron (Hermaphrodite specific);P8.aap
VD1;Motor neuron;W.pp
VD10;Motor neuron;P9.app
VD11;Motor neuron;P10.app
VD12;Motor neuron;P11.app
VD13;Motor neuron;P12.app
VD2;Motor neuron;P1.app
VD3;Motor neuron;P2.app
VD4;Motor neuron;P3.app
VD5;Motor neuron;P4.app
VD6;Motor neuron;P5.app
VD7;Motor neuron;P6.app
VD8;Motor neuron;P7.app
VD9;Motor neuron;P8.app
